SpaceName,PbaName
dev2-ad00000796,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:28d0b017-a15c-368e-9da1-bc1fe3019b41
dev2-ad00000968,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:96e0e914-06f7-3a74-a337-5851a12672e6
dev2-ad00000752,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:146a4b23-3bab-37d8-b93b-3f45d1c838bc
dev2-ad00000988,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0fe207c5-2f94-3e79-b30d-e03c43990d97
dev2-ad00000740,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:6d73b07a-4c92-3633-80a1-167281c1933c
dev2-ad00000007,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:35db448c-a827-3a03-ae43-9d90a9a0071d
dev2-ad00000021,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:93f33e11-35f6-3d76-af91-94963fc469b8
dev2-ad00000009,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:28c13ecb-f84b-3794-b9a2-90c8b95b235f
dev2-ad00000006,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:75bb16ac-66eb-3c26-9741-1404945da648
dev2-ad00000019,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8f3878f1-d8a9-37a4-9da1-82145b711246
dev2-ad00000018,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:6032f9c5-ccf6-3b63-90f9-236c1bf5147d
dev2-ad00000058,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a1c70969-119c-3885-a821-e99396eae069
dev2-ad00000026,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bb1af15a-d2ad-3d84-8f3f-ab11be409ce4
dev2-ad00000053,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b9c675de-e37a-36b7-bf35-458f4d5cb675
dev2-ad00000067,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7ad3fbde-2909-3d47-a7f8-af8ff4ffc013
dev2-ad00000033,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c3908a2b-34b6-3435-8697-2c4f5b44cd74
dev2-ad00000070,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:95759959-16f2-3615-9052-0557351d4178
dev2-ad00000036,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1be6e87c-fbf9-3377-a577-3f1bb75fa2bd
dev2-ad00000076,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:fdcb3c07-e976-3d4b-8236-17d3d358c502
dev2-ad00000099,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:150975e1-7c6a-305a-ab92-eff9eefce189
dev2-ad00000112,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:4c62f202-b92d-3a3b-a879-f2038a9a07f4
dev2-ad00000115,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:489c57d8-4bd6-3200-a0a7-cbef1f539a0d
dev2-ad00000105,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:16485e04-ef7f-3c04-a80f-7d476b2ccaab
dev2-ad00000120,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:442a10c7-470a-3fcd-9c0d-e98a8b77c770
dev2-ad00000090,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:acaf2eb6-cc3c-3a15-8d64-4982f689934b
dev2-ad00000122,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bdc31432-abf5-3a57-ac6c-69e64613990f
dev2-ad00000126,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c3cdc4d0-bc55-3368-8a29-802aff58fc2e
dev2-ad00000127,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:39b72268-eff8-3c88-a3e0-9d3eee32ee14
dev2-ad00000147,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:650bbf3c-647e-3834-9c33-4060dacd6d97
dev2-ad00000160,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:2679f932-9876-3cdd-8bff-2e9055eb9268
